char,freq
ireland,72
cpac,72
head,72
death,72
tom,72
records,72
missuniverse,72
danscavino,71
destroy,71
signed,71
award,71
wh,71
super,71
confidence,71
trust,71
announcement,71
passion,70
dopey,70
james,70
college,70
private,70
entire,70
freedom,70
gov,70
pass,70
poor,70
list,70
michigan,70
matter,70
host,70
strength,69
breitbartnews,69
afraid,69
increase,69
common,69
waiting,69
estate,68
benghazi,68
street,68
opportunity,68
trillion,68
experience,68
cast,68
wisconsin,68
collusion,67
california,67
collection,67
billionaire,67
dangerous,67
monster,67
shirts,67
workers,67
melaniatrump,67
incompetent,67
books,67
courses,66
excellent,66
omarosa,66
sold,66
policies,66
hours,66
respected,66
politician,66
heart,66
kasich,66
comey,65
leave,65
ass,65
alabama,65
prime,65
hits,65
tea,65
africa,65
based,65
level,65
businessman,65
met,65
player,64
weiner,64
drudge,64
pick,64
wsj,64
ivanka,64
ideas,64
secretary,64
enjoyed,64
comments,64
biased,64
honest,64
daca,63
park,63
defeat,63
brilliant,63
rest,63
minister,63
resort,63
chief,63
spectacular,63
cover,63
imwithyou,62
trumptowerny,62
kelly,62
red,62
calls,62
month,62
palm,62
health,62
replace,62
doubt,62
perfect,61
calling,61
staff,61
establishment,61
response,61
imagine,61
piece,61
russian,61
fans,61
happening,61
lied,60
bet,60
sadly,60
hosting,60
mar,60
wwe,60
genius,60
sanders,60
offers,60
mccain,60
laws,60
gun,60
bills,59
named,59
tweeting,59
hearing,59
trouble,59
field,59
role,59
dollar,59
lago,59
vp,59
boardroom,59
negotiation,59
safety,59
ridiculous,59
brandiglanville,59
terrorists,59
bigleaguetruth,58
caught,58
deficit,58
rigged,58
talks,58
entrepreneur,58
cbs,58
est,58
short,58
momentum,58
nh,58
paying,58
opec,58
teamtrump,58
apologize,58
steve,57
hey,57
missed,57
terrorist,57
created,57
track,57
weeks,57
mayor,57
king,57
nevada,57
uk,56
nations,56
offer,56
funny,56
spoke,56
va,56
passed,56
hero,56
bringing,56
anti,56
dnc,56
players,56
career,56
focused,55
county,55
chuck,55
hotels,55
front,55
cool,55
returns,55
spend,55
vision,55
situation,55
signature,55
brave,55
enforcement,55
fraud,55
bob,54
historic,54
unfair,54
speaks,54
model,54
picture,54
aberdeen,54
received,54
gold,54
tuned,54
fame,54
sell,54
illegals,53
university,53
kids,53
thursday,53
oscars,53
mention,53
demand,53
key,53
approval,53
finished,53
brought,53
shot,53
investigation,53
graham,53
rnc,53
looked,53
agschneiderman,52
sick,52
corrupt,52
mcuban,52
victims,52
intelligence,52
cnbc,52
radical,52
wasn,52
federal,52
trip,52
jon,52
conservative,52
water,52
fall,52
witch,52
careful,52
raised,52
icymi,52
easily,52
reporter,52
enemies,51
facebook,51
daily,51
rove,51
putting,51
starts,51
expected,51
june,51
wishes,51
east,51
racist,51
financial,51
signing,51
mother,51
charlotte,51
courage,51
anthony,51
threat,51
league,51
desperate,51
pro,51
program,50
agreed,50
return,50
boston,50
rated,50
crowds,50
shooting,50
project,50
emails,50
changed,50
hunt,50
robert,50
fine,50
succeed,50
ben,50
barack,50
ford,50
committee,50
legal,50
nflcommish,50
guess,49
nymag,49
forbes,49
liberal,49
property,49
citizens,49
lady,49
moving,49
secret,49
hands,49
social,49
scott,49
hour,49
favor,49
pushing,49
realize,49
manufacturing,49
dropped,49
telling,49
lower,49
progress,48
jack,48
address,48
travel,48
vince,48
attacks,48
lucky,48
geraldorivera,48
carter,48
climate,48
straight,48
todayshow,48
colorado,48
indiana,48
dem,48
beauty,48
enemy,47
politico,47
unbelievable,47
sending,47
spirit,47
muslim,47
mexican,47
winners,47
worry,47
funding,47
immigrants,47
community,47
stronger,47
fail,47
born,47
flotus,47
trumptrain,47
libya,46
single,46
schneiderman,46
cute,46
washingtonpost,46
helping,46
egypt,46
vanityfair,46
anncoulter,46
photo,46
afternoon,46
solution,46
opinion,46
quit,46
opportunities,46
majority,46
championship,46
stopped,46
andrew,46
claims,46
exclusive,46
statements,46
executive,46
simple,46
trumpscotland,46
summit,46
snowden,46
dying,45
la,45
arrived,45
treated,45
handle,45
daughter,45
terror,45
january,45
rock,45
clean,45
hold,45
rights,45
troops,45
popular,45
issue,45
guest,45
heroes,45
jeff,45
knowledge,45
crookedhillary,44
brian,44
dubai,44
reported,44
premiums,44
followers,44
song,44
rule,44
drop,44
destroyed,44
ugly,44
write,44
angry,44
ms,44
celebrate,44
trumpnewyork,44
reports,44
held,44
attention,44
loss,44
businesses,44
peace,44
pme,44
greatly,44
amendment,44
lyin,43
fl,43
gonna,43
black,43
clue,43
shouldn,43
hurricane,43
mine,43
expect,43
atlantic,43
effort,43
trumpgolfla,43
hair,43
gift,43
trumpsoho,43
official,43
central,43
credibility,43
agenda,43
broken,43
terrorism,43
sc,43
endorsed,43
fool,42
tells,42
destroying,42
em,42
keystone,42
written,42
guys,42
council,42
warren,42
packed,42
cares,42
howard,42
keeping,42
gopdebate,42
stewart,42
squawkcnbc,42
proven,42
stuff,42
politically,42
eyes,42
afghanistan,42
trumplasvegas,42
meetings,42
fitn,42
double,42
network,41
jim,41
tie,41
challenge,41
kill,41
remain,41
grand,41
step,41
rebuild,41
decisions,41
wealth,41
judge,41
drug,41
msnbc,41
fed,41
nasty,41
half,41
anniversary,41
charge,41
supreme,41
bedminster,41
powerful,41
review,41
wise,41
san,41
ice,40
disgusting,40
supporting,40
notice,40
missusa,40
hurt,40
tedcruz,40
potential,40
hand,40
flag,40
stage,40
amspec,40
predicted,40
info,40
rules,40
toronto,40
haven,40
quote,40
derek,40
saved,40
guns,40
listening,40
gary,40
inside,40
wasting,40
thegarybusey,40
leezagibbons,40
karl,40
fabulous,40
town,39
garbage,39
sounds,39
lowest,39
solve,39
buying,39
living,39
bankrupt,39
brady,39
dr,39
setting,39
advantage,39
boss,39
yi,39
japan,39
quality,39
card,39
mikeandmike,39
soldiers,39
bretbaier,39
holiday,39
investment,39
performance,39
matt,39
southern,38
board,38
sue,38
senators,38
officers,38
difference,38
dt,38
dog,38
innocent,38
france,38
simply,38
patriots,38
online,38
rick,38
treat,38
lying,38
weapons,38
elect,38
georgia,38
autism,38
secure,38
football,38
recovery,38
disgrace,38
features,38
rating,38
flights,37
lincoln,37
ocean,37
goals,37
drugs,37
light,37
grow,37
islamic,37
rise,37
negotiate,37
crisis,37
location,37
ap,37
professional,37
voter,37
cold,37
currency,37
behalf,37
husband,37
overrated,37
serve,37
restaurant,37
insurance,37
coverage,37
nbcnews,37
push,37
trumppence,36
organization,36
current,36
tour,36
events,36
negotiations,36
april,36
costs,36
strange,36
dad,36
avenue,36
speeches,36
attorney,36
ronald,36
wednesday,36
dallas,36
reviews,36
died,36
cities,36
promised,36
moron,36
apple,36
forced,36
ban,36
wear,36
deserves,36
deliver,36
core,35
reporters,35
puerto,35
deserve,35
xi,35
department,35
planning,35
creating,35
mistakes,35
ryan,35
relationship,35
coast,35
kenyamoore,35
games,35
impact,35
presidents,35
shame,35
dope,35
pretty,35
hosted,35
scottish,35
cutting,35
merry,35
standard,35
leads,35
director,35
construction,35
style,35
louisiana,35
ceiling,35
tinyurl,35
killer,35
pga,35
independent,35
issues,35
involved,35
vacation,35
negotiating,35
viewers,35
moment,35
snl,34
liberty,34
voice,34
goal,34
sales,34
foundation,34
churchill,34
purchase,34
tired,34
concerned,34
process,34
mac,34
andy,34
medicare,34
upcoming,34
folks,34
scandal,34
nj,34
birth,34
admit,34
rico,34
largest,34
espn,34
promise,34
smarter,34
african,34
path,34
djt,34
europe,34
fortune,34
local,34
blame,34
earth,34
trumps,34
geraldo,34
rid,34
defend,34
liar,34
wallace,34
green,34
loyal,34
talented,33
schumer,33
awards,33
tbt,33
guts,33
loving,33
sleep,33
prepared,33
remarks,33
reilly,33
rose,33
howardstern,33
attacking,33
reasons,33
pleasure,33
franklin,33
hole,33
thomas,33
sanctions,33
radio,33
danny,33
shut,33
nc,33
ceo,33
girl,33
staying,33
fear,33
nomination,33
chucktodd,33
spot,33
theapprentice,33
sources,33
phoenix,33
marine,33
premiere,33
memorial,33
saudi,33
episodes,32
henry,32
kevin,32
admire,32
surprised,32
lawyer,32
wasted,32
spa,32
finest,32
silent,32
appearance,32
ericbolling,32
magnificent,32
faith,32
kerry,32
trumpwaikiki,32
condolences,32
boycott,32
forever,32
brother,32
letter,32
owner,32
risk,32
refuses,32
yrs,32
einstein,32
beating,32
pressure,32
tiger,32
commander,32
competition,32
trumpturnberry,32
polling,32
wake,32
result,32
krauthammer,32
crippled,32
ability,32
buffalo,32
lobbyists,32
boy,32
stopping,32
irrelevant,32
enthusiasm,32
editorial,32
increased,32
damn,31
spitzer,31
kate,31
buildings,31
thanksgiving,31
miller,31
personally,31
coach,31
likes,31
plane,31
infrastructure,31
couple,31
weakness,31
land,31
cia,31
contract,31
lt,31
pacific,31
winston,31
ashamed,31
site,31
brings,31
excuse,31
foxbusiness,31
responders,31
prove,31
elite,31
hundreds,31
laugh,31
trumptoronto,31
values,31
cuban,31
graydon,31
elizabeth,31
larry,31
albert,31
cnnpolitics,31
raising,31
harder,31
enter,31
apology,31
delegates,30
ground,30
design,30
industry,30
attacked,30
patriot,30
attitude,30
fools,30
lol,30
sound,30
walk,30
annual,30
fiscal,30
skills,30
brotherhood,30
direction,30
hawaii,30
oval,30
doonbeg,30
cash,30
ally,30
bankruptcy,30
traceadkins,30
criminal,30
age,30
storm,30
nypost,30
expensive,30
study,30
tennessee,30
nominee,30
tahmooressi,30
mails,30
responsible,30
completely,30
demdebate,30
paris,30
motivation,30
test,30
yr,30
accomplished,29
msm,29
jealous,29
thehill,29
breaking,29
msvivicafox,29
refused,29
caucus,29
visiting,29
represent,29
cadillacchamp,29
changing,29
campaigning,29
ferry,29
road,29
visited,29
judgement,29
requires,29
officials,29
wishing,29
prior,29
effective,29
incompetence,29
youtube,29
officially,29
train,29
driving,29
access,29
wild,29
australia,29
child,29
led,29
legend,29
stayed,29
amazon,29
syrian,29
form,29
penalty,29
arabia,29
