'chuan'ti'chai'jie'gong 船体拆解工
'chuan'ti'zhi'zao'gong 船体制造工
'chui'zou'yue'qi'zhi'zuo'gong 吹奏乐器制作工
'chun'jian'sheng'chan'gong 纯碱生产工
'ci'fen'zhi'zao'gong 磁粉制造工
'ci'ji'lu'cai'liao'shi'yan'gong 磁记录材料试验工
'ci'ji'lu'cai'liao'zhi'zao'gong 磁记录材料制造工
'ci'tou'zhi'zao'gong 磁头制造工
'ci'xuan'gong 磁选工
'ci'zuo'jia 词作家
'cu'sha'gong 粗纱工
'cui'hua'ji'shi'yan'gong 催化剂试验工
'cui'hua'ji'zhi'zao'gong 催化剂制造工
'cui'qu'gong 萃取工
'da'di'ce'liang'gong 大地测量工
'da'di'ce'liang'gong'cheng'ji'shu'ren'yuan 大地测量工程技术人员
'da'ji'yue'qi'zhi'zuo'gong 打击乐器制作工
'da'qi'huan'jing'jian'ce'gong 大气环境监测工
'da'ye'fu'kao'gong 打叶复烤工
'da'zi'yuan 打字员
'dan'ji'huo'yao'zhi'zao'gong 单基火药制造工
'dan'jian'gong'cheng'ji'shu'ren'yuan 弹箭工程技术人员
'dan'jing'pian'jia'gong'gong 单晶片加工工
'dan'pin'ji'zai'zhi'dan'pin'jia'gong'gong 蛋品及再制蛋品加工工
'dan'tou'zhuang'pei'gong 弹头装配工
'dan'zhi'zha'yao'zhi'zao'gong 单质炸药制造工
'dang'an'ye'wu'ren'yuan 档案业务人员
'dao'cha'zhi'xiu'gong 道岔制修工
'dao'dan'bu'duan'zhuang'pei'gong 导弹部段装配工
'dao'dan'zong'ti'zhuang'pei'gong 导弹总体装配工
'dao'ju'shi 道具师
'dao'lu'yu'qiao'liang'gong'cheng'ji'shu'ren'yuan 道路与桥梁工程技术人员
'dao'you 导游
'di'ji'ce'hui'gong 地籍测绘工
'di'qiu'ke'xue'yan'jiu'ren'yuan 地球科学研究人员
'di'tu'zhi'tu'gong 地图制图工
'di'tu'zhi'tu'yu'yin'shua'gong'cheng'ji'shu'ren'yuan 地图制图与印刷工程技术人员
'di'zhen'gong'cheng'ji'shu'ren'yuan 地震工程技术人员
'di'zhi'kan'tan'gong'cheng'ji'shu'ren'yuan 地质勘探工程技术人员
'dian'chang'shui'chu'li'zhi'ban'yuan 电厂水处理值班员
'dian'dang'ye'wu'yuan 典当业务员
'dian'fen'pu'tao'tang'zhi'zao'gong 淀粉葡萄糖制造工
'dian'gong'qi'cai 电工器材
'dian'gong'yi'qi'yi'biao'xiu'li'gong 电工仪器仪表修理工
'dian'gong'yi'qi'yi'biao'zhuang'pei'gong 电工仪器仪表装配工
'dian'han'ji'zhuang'pei'gong 电焊机装配工
'dian'han'tiao'zhi'zao'gong 电焊条制造工
'dian'hua'dian'bao'jiao'huan'ji'wu'yuan 电话电报交换机务员
'dian'ji'che'zhuang'pei'gong 电机车装配工
'dian'ji'si'zhi'zao'gong 电极丝制造工
'dian'ji'yu'dian'qi'gong'cheng'ji'shu'ren'yuan 电机与电器工程技术人员
'dian'ji'zhuang'pei'gong 电机装配工
'dian'jie'jing'lian'gong 电解精炼工
'dian'li'dian'lan'an'zhuang'gong 电力电缆安装工
'dian'li'fu'he'kong'zhi'yuan 电力负荷控制员
'dian'li'fu'she'ji'liang'gong 电离辐射计量工
'dian'li'gong'cheng'nei'xian'an'zhuang'gong 电力工程内线安装工
'dian'li'tuo'dong'yu'zi'dong'kong'zhi'gong'cheng'ji'shu'ren'yuan 电力拖动与自动控制工程技术人员
'dian'lu'lian'gang'gong 电炉炼钢工
'dian'lu'zhuang'pei'gong 电炉装配工
'dian'neng'ji'liang'zhuang'zhi'jian'xiu'gong 电能计量装置检修工
'dian'qi'chan'pin'jian'yan'gong 电器产品检验工
'dian'qi'ji'liang'gong 电器计量工
'dian'qi'she'bei'an'zhuang'gong 电气设备安装工
'dian'qi'shi'yan'yuan 电气试验员
'dian'qi'zhi'ban'yuan 电气值班员
'dian'qie'xiao'gong 电切削工
'dian'rong'qi'zhi'zao'gong 电容器制造工
'dian'shen'xi'qi'gong 电渗析器工
'dian'sheng'qi'jian'zhi'zao'gong 电声器件制造工
'dian'sheng'yue'qi'zhi'zuo'gong 电声乐器制作工
'dian'xian'dian'lan'yu'dian'gong'cai'liao'ji'shu'ren'yuan 电线电缆与电工材料技术人员
